lat,lon,year
40.632367100000003,-73.987714499999996,2012
40.881076299999997,-73.878485900000001,2012
40.556616799999993,-74.203986,2012
40.768439000000001,-73.989050400000011,2012
40.826848799999993,-73.922678400000009,2012
40.707041799999992,-73.955697299999997,2012
40.712697300000002,-73.900594400000003,2012
40.607948,-74.16234399999999,2012
40.749844899999999,-73.952240099999997,2012
40.7565594,-73.98610699999999,2012
40.796564700000005,-73.974194499999996,2012
40.647029799999999,-74.011996299999993,2012
40.672609399999999,-73.899911599999996,2012
40.707220299999996,-74.007458999999997,2012
40.688360899999999,-73.91614659999999,2012
40.630174700000005,-74.000749400000004,2012
40.599802600000004,-73.947594100000003,2012
40.841511799999999,-73.861763299999993,2012
40.802561700000005,-73.942991700000007,2012
40.675380299999993,-73.908195599999985,2012
40.622596200000004,-73.994293999999996,2012
40.729112299999997,-74.010672499999998,2012
40.691970399999995,-73.909081499999999,2012
40.702595200000005,-73.855292599999999,2012
40.881266400000001,-73.838742500000009,2012
40.769015199999998,-73.818208799999994,2012
40.628646799999999,-73.952067499999998,2012
40.836109299999997,-73.922371299999995,2012
40.736668999999999,-73.997340600000001,2012
40.7547481,-73.987890400000012,2012
40.711994500000003,-73.860726200000002,2012
40.596511299999996,-73.907875500000003,2012
40.746556299999995,-73.826199000000003,2012
40.607269899999999,-74.074513900000014,2012
40.679785799999998,-73.830865299999999,2012
40.715722200000002,-73.875313500000004,2012
40.742275200000002,-73.911044499999988,2012
40.742337200000001,-73.929297500000004,2012
40.744779999999999,-73.975881900000005,2012
40.733497300000003,-73.870369400000001,2012
40.686234200000001,-73.824174800000009,2012
40.640768900000005,-74.094751099999996,2012
40.737251899999997,-73.917983099999987,2012
40.537700399999999,-74.150009499999996,2012
40.712531400000003,-74.007665200000005,2012
40.764711200000001,-73.830685700000004,2012
40.714957099999999,-73.73356729999999,2012
40.805057299999994,-73.939034200000009,2012
40.612640599999999,-74.128380200000009,2012
40.761457100000001,-73.739976400000003,2012
40.638120899999997,-74.024753400000009,2012
40.579170300000001,-74.1010536,2012
40.581794899999998,-73.849286599999999,2012
40.871767600000005,-73.913366199999999,2012
40.742019899999995,-73.926551599999996,2012
40.675623399999999,-73.888255200000003,2012
40.769059399999996,-73.973024599999988,2012
40.753387299999993,-73.996304000000009,2012
40.696571599999999,-73.958434199999999,2012
40.8394768,-73.877745099999984,2012
